"Index","Date","Person","InterviewType","Winner","Text","PersonType"
49,2019-06-13,"Steve Kerr","Pregame","N/A","STEVE KERR: Yeah.  I mean, it's still raw, obviously.  This has only been whatever it is, 48 hours, 72 hours, so I've texted, I've talked to some of the guys who have spoken with him.  Everybody's been reaching out to him and fortunately everything went well.  And so tonight we're thinking of him.  I know our fans are all thinking about him.","Coach"
50,2019-06-13,"Steve Kerr","Pregame","N/A","STEVE KERR: Kevon just warmed up on the court with Chris DeMarco and he's doing decently.  So I think he'll give it a go and we'll see how he holds up","Coach"
51,2019-06-13,"Steve Kerr","Pregame","N/A","STEVE KERR: Well, this is unique.  This is sort of a once-in-a-career moment where you play in a building for the very last time, and you absolutely know positively without a doubt that it's the last game you'll ever play here.  We had a ceremony at the end of the year in the regular season, but we knew we were coming back here to play.  And then we had that weird Game 4 a few days ago where we lost and it sure felt anti-climatic, like this can't be the last game at Oracle.  Now it's here and it's definite and it's in the midst of this series that we're trying to win, so there's a lot going on.","Coach"
52,2019-06-13,"Steve Kerr","Pregame","N/A","STEVE KERR: I think the benefit of our team having the experience that we do over the last five years, they seem to respond no matter what the circumstances are.  So I'm very confident that they will play and they will settle into the game and they will compete and find a way to get into a rhythm.  There's not a whole lot to say.  Everybody knows what's at stake and what's happening, so it's not like I have to give a big speech or anything.  But it's just let's get our work in, let's do our jobs and see what happens.","Coach"
53,2019-06-13,"Draymond Green","Postgame","Toronto Win","DRAYMOND GREEN: I mean I feel great to go to war with those guys every single night, through everything we went through this year.  You look at some of the stuff that's gone on and it's like, oh, that was two years ago, no that was like five months ago, it was seven months ago, two months ago.  Like everything this team has been through, I'm extremely proud of the guys, the way we fought.  It was great, but we lost.  There's no moral victories.  Congratulations to Toronto, they played a great series and they deserved to win","Player"
54,2019-06-13,"Draymond Green","Postgame","Toronto Win","DRAYMOND GREEN: Obviously you feel good about it, but it's no shocker to us.  We know what this team has been made of all along.  I said it over and over again, the pretty offense will always be the story line, but this team, a ton of heart.  Everybody that steps on that floor displayed a ton of heart.  So it's no shocker to us that we continue to fight, but we came up a little short and that's just it","Player"
55,2019-06-13,"Draymond Green","Postgame","Toronto Win","DRAYMOND GREEN: I think every game you leave something out there.  I don't think anyone leaves any game and feels like you did everything you could have possibly done to the T.  That's just a part of what, the game that we play.  Obviously the missed free throws, they usually come back and bite you, and they probably did.  But there was several things that went on throughout the course of this game which is why we lost.  So I think I can look at every loss in my career and every win and nitpick.  At the end of the day, we lost, so that's all that matters","Player"
56,2019-06-13,"Draymond Green","Postgame","Toronto Win","DRAYMOND GREEN: Oh, I mean, well, without Klay it's tough.  It takes some shooting off the floor, so spacing is not quite there.  Obviously one of our best defenders.  Probably the guy that got the most heart on this team.  It's not really the most popular opinion, but as a guy who's been with Klay for seven years, I don't know many people with as much heart as Klay.  So the way he was playing, as aggressive as he was, he was carrying us and when he went down obviously we lose a lot.  But","Player"
57,2019-06-13,"Draymond Green","Postgame","Toronto Win","DRAYMOND GREEN: Oh, I knew it was just to shoot the free throws.  But also with Klay he, if they would have let him stay out there he would have stayed.  That's just who he is.  You see him try to run back down the floor like, what are you doing?  But that's Klay.  How many people is going to play with a hamstring injury?  No one.  Like no one does that.  So that's just the way he is, man.  That guy is -- he's a warrior and obviously that's no pun intended with that, but there's no other way to describe him.  He's going to give everything he got every time he step on the floor and even some things that he don't have, which is his health.  He was going to try to give it more.  That's just who he is.  That's why we love him","Player"
58,2019-06-13,"Draymond Green","Postgame","Toronto Win","DRAYMOND GREEN: Yeah.  I think everybody thinks it's kind of the end of us.  But that's just not smart.  We're not done yet.  We lost this year.  Clearly just wasn't our year, but that's how the cookie crumbles sometimes.  But, yeah, I hear a lot of that noise, it's the end of a run and all that jazz.  I don't see it happening though.  We'll be back","Player"
59,2019-06-13,"Draymond Green","Postgame","Toronto Win","DRAYMOND GREEN: No, I didn't.  But it does not shock me one bit.  Klay is, he's crazy, to say the least.  He is going to -- he loves to play basketball and no matter what he's got he's going to try to be out there on the floor.  So it's not shocking at all.  I'm sure he tried to get back out there on the floor and they just would not let him.  So, no, it sucks.  Obviously we're praying that everything is okay, but that's a tough one","Player"
60,2019-06-13,"Draymond Green","Postgame","Toronto Win","DRAYMOND GREEN: No, it wasn't on my mind.  I'm not an idiot.  I know that I can't get another T, so I'm not really going to flirt that line.  I think if you look at this entire year there was a lot of noise about players and officiating and the back and forth.  And I think over the course of the last eight to 10 week that is all has been cleaned up from both sides.  Officials I think were a lot better in communicating with us.  And I think players in turn showed the same respect to those guys.  So I had some conversations with officials today, and, but that's allowed.  I think that there's kind of this narrative of we don't work together.  We all work together to put a great product out there on the floor and represent this league the way we all want it to be represented, as we all are a part of the makeup of this league.  So I had conversations with officials.  But, yeah, I'm far from dumb as people think I am.  I know how to control myself a tad.  Just a little bit.","Player"
61,2019-06-13,"Marc Gasol","Postgame","Toronto Win","MARC GASOL: It means a lot of things.  It means the world.  Still I've been floating for the past couple of hours.  I'm thrilled.  So many people deserve this.  Even though Golden State had some tough injuries the last game and this game, they showed you how much heart they have.  How much what it means to be a championship team.  They didn't make any excuses, they kept playing, they kept coming at you every possession offensively and defensively.  So very much respect for those guys and their organization.  With that said, I'm very happy that we won.  I'm so excited, it's just special, special feeling.  We have a special group of guys that are so carefree.  They help one another, especially through tough times when we could have pointed fingers at one another and blamed each other, we didn't do that.  We just held on to our brothers.  And just, I just have so many people to thank that we would be here for a couple hours, so I want to thank everybody","Player"
62,2019-06-13,"Marc Gasol","Postgame","Toronto Win","MARC GASOL: No.  I haven't spoken to him.  I've only spoke to my wife and that was good enough","Player"
